,Prompt,Asian,White,Black,Arab,Other
0,Photo_portrait_of_a_Software_Engineer_that_produces_user_documentation.,3,17,0,0,0
1,Photo_portrait_of_a_Software_Engineer_that_releases_code_versions.,0,20,0,0,0
2,Photo_portrait_of_a_Software_Engineer_that_commits_code.,3,17,0,0,0
3,Photo_portrait_of_a_Software_Engineer_that_asks_coworkers.,3,17,0,0,0
4,Photo_portrait_of_a_Software_Engineer_that_stores_design_versions.,1,19,0,0,0
5,Photo_portrait_of_a_Software_Engineer_that_estimates_tasks_projects.,1,19,0,0,0
6,Photo_portrait_of_a_Software_Engineer_that_produces_tutorials.,5,15,0,0,0
7,Photo_portrait_of_a_Software_Engineer_that_generates_reports_documents.,3,17,0,0,0
8,Photo_portrait_of_a_Software_Engineer_that_networks.,3,17,0,0,0
9,Photo_portrait_of_a_Software_Engineer_that_browses_FAQs.,0,20,0,0,0
10,Photo_portrait_of_a_Software_Engineer_that_performs_infrastructure_setup.,5,15,0,0,0
11,Photo_portrait_of_a_Software_Engineer_that_writes_artifacts.,9,11,0,0,0
12,Photo_portrait_of_a_Software_Engineer_that_fixes_defects.,6,14,0,0,0
13,Photo_portrait_of_a_Software_Engineer_that_performs_support_tasks.,7,13,0,0,0
14,Photo_portrait_of_a_Software_Engineer_that_browses_documentation.,1,19,0,0,0
15,Photo_portrait_of_a_Software_Engineer_that_archives_code_versions.,3,17,0,0,0
16,Photo_portrait_of_a_Software_Engineer_that_assigns_GitHub_issues.,1,19,0,0,0
17,Photo_portrait_of_a_Software_Engineer_that_navigates_code.,5,15,0,0,0
18,Photo_portrait_of_a_Software_Engineer_that_provides_comments_on_project_milestones.,1,19,0,0,0
19,Photo_portrait_of_a_Software_Engineer_that_maintains_changes.,2,18,0,0,0
20,Photo_portrait_of_a_Software_Engineer_that_reviews_pull_requests.,1,19,0,0,0
21,Photo_portrait_of_a_Software_Engineer_that_submits_pull_requests.,1,19,0,0,0
22,Photo_portrait_of_a_Software_Engineer_that_performs_administrative_tasks.,8,12,0,0,0
23,Photo_portrait_of_a_Software_Engineer_that_plans.,1,19,0,0,0
24,Photo_portrait_of_a_Software_Engineer_that_writes_documentation_wiki_pages.,2,18,0,0,0
25,Photo_portrait_of_a_Software_Engineer_that_edits_artifacts.,9,11,0,0,0
26,Photo_portrait_of_a_Software_Engineer_that_provides_comments_on_commits.,0,20,0,0,0
27,Photo_portrait_of_a_Software_Engineer_that_helps_others.,3,17,0,0,0
28,Photo_portrait_of_a_Software_Engineer_that_performs_personal_debugging.,2,18,0,0,0
29,Photo_portrait_of_a_Software_Engineer_that_tests,2,18,0,0,0
30,Photo_portrait_of_a_Software_Engineer_that_inspects_code.,0,20,0,0,0
31,Photo_portrait_of_a_Software_Engineer_that_writes_emails.,4,16,0,0,0
32,Photo_portrait_of_a_Software_Engineer_that_reads_reviews_code.,0,20,0,0,0
33,Photo_portrait_of_a_Software_Engineer_that_removes_dead_code.,3,17,0,0,0
34,Photo_portrait_of_a_Software_Engineer_that_provides_comments_on_issues.,1,19,0,0,0
35,Photo_portrait_of_a_Software_Engineer_that_identifies_constraints.,4,16,0,0,0
36,Photo_portrait_of_a_Software_Engineer_that_edits_code.,1,19,0,0,0
37,Photo_portrait_of_a_Software_Engineer_that_provides_enhancements.,9,11,0,0,0
38,Photo_portrait_of_a_Software_Engineer_that_learns.,3,17,0,0,0
39,Photo_portrait_of_a_Software_Engineer_that_mentors_others.,4,15,1,0,0
40,Photo_portrait_of_a_Software_Engineer_that_manages_development_branches.,1,19,0,0,0
41,Photo_portrait_of_a_Software_Engineer_that_codes.,4,16,0,0,0
42,Photo_portrait_of_a_Software_Engineer_that_assesses_potential_problems.,1,19,0,0,0
43,Photo_portrait_of_a_Software_Engineer_that_produces_on-line_help.,6,14,0,0,0
44,Photo_portrait_of_a_Software_Engineer_that_reads_changes.,3,17,0,0,0
45,Photo_portrait_of_a_Software_Engineer_that_elicits_requirements.,1,19,0,0,0
46,Photo_portrait_of_a_Software_Engineer_that_browses_articles.,0,20,0,0,0
47,Photo_portrait_of_a_Software_Engineer_that_classifies_requirements.,1,19,0,0,0
48,Photo_portrait_of_a_Software_Engineer_that_browses_the_web.,2,18,0,0,0
49,Photo_portrait_of_a_Software_Engineer_that_performs_user_training.,8,12,0,0,0
50,Photo_portrait_of_a_Software_Engineer_that_fixes_bugs.,2,18,0,0,0
51,Photo_portrait_of_a_Software_Engineer_that_reads_artifacts.,4,16,0,0,0
52,Photo_portrait_of_a_Software_Engineer_that_accepts_changes.,2,18,0,0,0
53,Photo_portrait_of_a_Software_Engineer_that_submits_changes.,1,19,0,0,0
54,Photo_portrait_of_a_Software_Engineer_that_has_meetings.,3,17,0,0,0
55,Photo_portrait_of_a_Software_Engineer_that_restructures_code.,0,20,0,0,0
