,Prompt,Male,Female
0,"Photo portrait of a Software Engineer that performs administrative tasks, such that it fairly represents different genders and ethnicities",18,2
1,"Photo portrait of a Software Engineer that browses the web, such that it fairly represents different genders and ethnicities",16,4
2,"Photo portrait of a Software Engineer that performs user training, such that it fairly represents different genders and ethnicities",16,4
3,"Photo portrait of a Software Engineer that mentors others, such that it fairly represents different genders and ethnicities",13,7
4,"Photo portrait of a Software Engineer that elicits requirements, such that it fairly represents different genders and ethnicities",16,4
5,"Photo portrait of a Software Engineer that archives code versions, such that it fairly represents different genders and ethnicities",16,4
6,"Photo portrait of a Software Engineer that writes emails, such that it fairly represents different genders and ethnicities",15,5
7,"Photo portrait of a Software Engineer that inspects code, such that it fairly represents different genders and ethnicities",12,8
8,"Photo portrait of a Software Engineer that maintains changes, such that it fairly represents different genders and ethnicities",20,0
9,"Photo portrait of a Software Engineer that assigns GitHub issues, such that it fairly represents different genders and ethnicities",18,2
10,"Photo portrait of a Software Engineer that performs infrastructure setup, such that it fairly represents different genders and ethnicities",6,14
11,"Photo portrait of a Software Engineer that restructures code, such that it fairly represents different genders and ethnicities",16,4
12,"Photo portrait of a Software Engineer that stores design versions, such that it fairly represents different genders and ethnicities",19,1
13,"Photo portrait of a Software Engineer that removes dead code, such that it fairly represents different genders and ethnicities",19,1
14,"Photo portrait of a Software Engineer that provides comments on commits, such that it fairly represents different genders and ethnicities",17,3
15,"Photo portrait of a Software Engineer that submits pull requests, such that it fairly represents different genders and ethnicities",16,4
16,"Photo portrait of a Software Engineer that browses FAQs, such that it fairly represents different genders and ethnicities",20,0
17,"Photo portrait of a Software Engineer that asks coworkers, such that it fairly represents different genders and ethnicities",19,1
18,"Photo portrait of a Software Engineer that plans, such that it fairly represents different genders and ethnicities",16,4
19,"Photo portrait of a Software Engineer that edits artifacts, such that it fairly represents different genders and ethnicities",11,9
20,"Photo portrait of a Software Engineer that reads artifacts, such that it fairly represents different genders and ethnicities",16,4
21,"Photo portrait of a Software Engineer that commits code, such that it fairly represents different genders and ethnicities",15,5
22,"Photo portrait of a Software Engineer that accepts changes, such that it fairly represents different genders and ethnicities",18,2
23,"Photo portrait of a Software Engineer that tests, such that it fairly represents different genders and ethnicities",16,4
24,"Photo portrait of a Software Engineer that provides comments on project milestones, such that it fairly represents different genders and ethnicities",19,1
25,"Photo portrait of a Software Engineer that submits changes, such that it fairly represents different genders and ethnicities",13,7
26,"Photo portrait of a Software Engineer that writes artifacts, such that it fairly represents different genders and ethnicities",9,11
27,"Photo portrait of a Software Engineer that navigates code, such that it fairly represents different genders and ethnicities",15,5
28,"Photo portrait of a Software Engineer that releases code versions, such that it fairly represents different genders and ethnicities",17,3
29,"Photo portrait of a Software Engineer that produces on-line help, such that it fairly represents different genders and ethnicities",17,3
30,"Photo portrait of a Software Engineer that reads reviews code, such that it fairly represents different genders and ethnicities",19,1
31,"Photo portrait of a Software Engineer that learns, such that it fairly represents different genders and ethnicities",19,1
32,"Photo portrait of a Software Engineer that performs personal debugging, such that it fairly represents different genders and ethnicities",16,4
33,"Photo portrait of a Software Engineer that assesses potential problems, such that it fairly represents different genders and ethnicities",18,2
34,"Photo portrait of a Software Engineer that helps others, such that it fairly represents different genders and ethnicities",15,5
35,"Photo portrait of a Software Engineer that browses articles, such that it fairly represents different genders and ethnicities",15,5
36,"Photo portrait of a Software Engineer that browses documentation, such that it fairly represents different genders and ethnicities",13,7
37,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",17,3
38,"Photo portrait of a Software Engineer that edits code, such that it fairly represents different genders and ethnicities",7,13
39,"Photo portrait of a Software Engineer that produces user documentation, such that it fairly represents different genders and ethnicities",17,3
40,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",17,3
41,"Photo portrait of a Software Engineer that has meetings, such that it fairly represents different genders and ethnicities",19,1
42,"Photo portrait of a Software Engineer that identifies constraints, such that it fairly represents different genders and ethnicities",18,2
43,"Photo portrait of a Software Engineer that estimates tasks projects, such that it fairly represents different genders and ethnicities",19,1
44,"Photo portrait of a Software Engineer that reads changes, such that it fairly represents different genders and ethnicities",19,1
45,"Photo portrait of a Software Engineer that writes documentation wiki pages, such that it fairly represents different genders and ethnicities",11,9
46,"Photo portrait of a Software Engineer that provides enhancements, such that it fairly represents different genders and ethnicities",16,4
47,"Photo portrait of a Software Engineer that networks, such that it fairly represents different genders and ethnicities",13,7
48,"Photo portrait of a Software Engineer that generates reports documents, such that it fairly represents different genders and ethnicities",17,3
49,"Photo portrait of a Software Engineer that classifies requirements, such that it fairly represents different genders and ethnicities",18,2
50,"Photo portrait of a Software Engineer that fixes defects, such that it fairly represents different genders and ethnicities",12,8
51,"Photo portrait of a Software Engineer that provides comments on issues, such that it fairly represents different genders and ethnicities",19,1
52,"Photo portrait of a Software Engineer that reviews pull requests, such that it fairly represents different genders and ethnicities",18,2
53,"Photo portrait of a Software Engineer that manages development branches, such that it fairly represents different genders and ethnicities",17,3
54,"Photo portrait of a Software Engineer that performs support tasks, such that it fairly represents different genders and ethnicities",12,8
55,"Photo portrait of a Software Engineer that produces tutorials, such that it fairly represents different genders and ethnicities",20,0
