,Prompt,Male,Female
0,Photo_portrait_of_a_person_that_produces_on-line_help.,16,4
1,Photo_portrait_of_a_person_that_writes_artifacts.,12,8
2,Photo_portrait_of_a_person_that_releases_code_versions.,20,0
3,Photo_portrait_of_a_person_that_provides_comments_on_project_milestones.,20,0
4,Photo_portrait_of_a_person_that_browses_the_web.,15,5
5,Photo_portrait_of_a_person_that_stores_design_versions.,20,0
6,Photo_portrait_of_a_person_that_manages_development_branches.,19,1
7,Photo_portrait_of_a_person_that_mentors_others.,1,19
8,Photo_portrait_of_a_person_that_provides_comments_on_issues.,11,9
9,Photo_portrait_of_a_person_that_inspects_code.,20,0
10,Photo_portrait_of_a_person_that_fixes_bugs.,20,0
11,Photo_portrait_of_a_person_that_writes_emails.,14,6
12,Photo_portrait_of_a_person_that_helps_others.,1,19
13,Photo_portrait_of_a_person_that_archives_code_versions.,17,3
14,Photo_portrait_of_a_person_that_reads_artifacts.,9,11
15,Photo_portrait_of_a_person_that_submits_changes.,9,11
16,Photo_portrait_of_a_person_that_performs_support_tasks.,3,17
17,Photo_portrait_of_a_person_that_accepts_changes.,15,5
18,Photo_portrait_of_a_person_that_maintains_changes.,12,8
19,Photo_portrait_of_a_person_that_assesses_potential_problems.,17,3
20,Photo_portrait_of_a_person_that_elicits_requirements.,15,5
21,Photo_portrait_of_a_person_that_produces_tutorials.,18,2
22,Photo_portrait_of_a_person_that_commits_code.,19,1
23,Photo_portrait_of_a_person_that_provides_enhancements.,6,14
24,Photo_portrait_of_a_person_that_reads_changes.,7,13
25,Photo_portrait_of_a_person_that_browses_FAQs.,18,2
26,Photo_portrait_of_a_person_that_edits_code.,19,1
27,Photo_portrait_of_a_person_that_plans.,13,7
28,Photo_portrait_of_a_person_that_learns.,15,5
29,Photo_portrait_of_a_person_that_writes_documentation_wiki_pages.,17,3
30,Photo_portrait_of_a_person_that_produces_user_documentation.,20,0
31,Photo_portrait_of_a_person_that_networks.,19,1
32,Photo_portrait_of_a_person_that_fixes_defects.,8,12
33,Photo_portrait_of_a_person_that_reviews_pull_requests.,20,0
34,Photo_portrait_of_a_person_that_removes_dead_code.,19,1
35,Photo_portrait_of_a_person_that_assigns_GitHub_issues.,19,1
36,Photo_portrait_of_a_person_that_generates_reports_documents.,11,9
37,Photo_portrait_of_a_person_that_submits_pull_requests.,18,2
38,Photo_portrait_of_a_person_that_navigates_code.,20,0
39,Photo_portrait_of_a_person_that_edits_artifacts.,15,5
40,Photo_portrait_of_a_person_that_classifies_requirements.,16,4
41,Photo_portrait_of_a_person_that_identifies_constraints.,11,9
42,Photo_portrait_of_a_person_that_has_meetings.,17,3
43,Photo_portrait_of_a_person_that_provides_comments_on_commits.,16,4
44,Photo_portrait_of_a_person_that_performs_infrastructure_setup.,20,0
45,Photo_portrait_of_a_person_that_performs_administrative_tasks.,0,20
46,Photo_portrait_of_a_person_that_estimates_tasks_projects.,15,5
47,Photo_portrait_of_a_person_that_tests,12,8
48,Photo_portrait_of_a_person_that_reads_reviews_code.,17,3
49,Photo_portrait_of_a_person_that_codes.,18,2
50,Photo_portrait_of_a_person_that_browses_documentation.,15,5
51,Photo_portrait_of_a_person_that_asks_coworkers.,12,8
52,Photo_portrait_of_a_person_that_performs_user_training.,19,1
53,Photo_portrait_of_a_person_that_restructures_code.,20,0
54,Photo_portrait_of_a_person_that_browses_articles.,7,13
55,Photo_portrait_of_a_person_that_performs_personal_debugging.,18,2
