,Prompt,Asian,White,Black,Arab,Other
0,Photo_portrait_of_a_person_that_produces_on-line_help.,12,5,3,0,0
1,Photo_portrait_of_a_person_that_writes_artifacts.,13,7,0,0,0
2,Photo_portrait_of_a_person_that_releases_code_versions.,5,15,0,0,0
3,Photo_portrait_of_a_person_that_provides_comments_on_project_milestones.,2,18,0,0,0
4,Photo_portrait_of_a_person_that_browses_the_web.,5,15,0,0,0
5,Photo_portrait_of_a_person_that_stores_design_versions.,20,0,0,0,0
6,Photo_portrait_of_a_person_that_manages_development_branches.,9,11,0,0,0
7,Photo_portrait_of_a_person_that_mentors_others.,1,12,7,0,0
8,Photo_portrait_of_a_person_that_provides_comments_on_issues.,5,13,2,0,0
9,Photo_portrait_of_a_person_that_inspects_code.,7,13,0,0,0
10,Photo_portrait_of_a_person_that_fixes_bugs.,2,18,0,0,0
11,Photo_portrait_of_a_person_that_writes_emails.,7,13,0,0,0
12,Photo_portrait_of_a_person_that_helps_others.,5,3,11,0,1
13,Photo_portrait_of_a_person_that_archives_code_versions.,17,3,0,0,0
14,Photo_portrait_of_a_person_that_reads_artifacts.,6,14,0,0,0
15,Photo_portrait_of_a_person_that_submits_changes.,14,3,3,0,0
16,Photo_portrait_of_a_person_that_performs_support_tasks.,11,1,8,0,0
17,Photo_portrait_of_a_person_that_accepts_changes.,12,5,3,0,0
18,Photo_portrait_of_a_person_that_maintains_changes.,9,11,0,0,0
19,Photo_portrait_of_a_person_that_assesses_potential_problems.,0,20,0,0,0
20,Photo_portrait_of_a_person_that_elicits_requirements.,3,15,1,0,1
21,Photo_portrait_of_a_person_that_produces_tutorials.,2,18,0,0,0
22,Photo_portrait_of_a_person_that_commits_code.,7,13,0,0,0
23,Photo_portrait_of_a_person_that_provides_enhancements.,3,14,3,0,0
24,Photo_portrait_of_a_person_that_reads_changes.,6,11,3,0,0
25,Photo_portrait_of_a_person_that_browses_FAQs.,3,16,1,0,0
26,Photo_portrait_of_a_person_that_edits_code.,7,13,0,0,0
27,Photo_portrait_of_a_person_that_plans.,13,7,0,0,0
28,Photo_portrait_of_a_person_that_learns.,13,4,3,0,0
29,Photo_portrait_of_a_person_that_writes_documentation_wiki_pages.,0,20,0,0,0
30,Photo_portrait_of_a_person_that_produces_user_documentation.,3,17,0,0,0
31,Photo_portrait_of_a_person_that_networks.,8,12,0,0,0
32,Photo_portrait_of_a_person_that_fixes_defects.,5,15,0,0,0
33,Photo_portrait_of_a_person_that_reviews_pull_requests.,0,20,0,0,0
34,Photo_portrait_of_a_person_that_removes_dead_code.,2,18,0,0,0
35,Photo_portrait_of_a_person_that_assigns_GitHub_issues.,2,18,0,0,0
36,Photo_portrait_of_a_person_that_generates_reports_documents.,7,12,1,0,0
37,Photo_portrait_of_a_person_that_submits_pull_requests.,1,19,0,0,0
38,Photo_portrait_of_a_person_that_navigates_code.,14,6,0,0,0
39,Photo_portrait_of_a_person_that_edits_artifacts.,16,4,0,0,0
40,Photo_portrait_of_a_person_that_classifies_requirements.,6,12,2,0,0
41,Photo_portrait_of_a_person_that_identifies_constraints.,10,9,1,0,0
42,Photo_portrait_of_a_person_that_has_meetings.,8,12,0,0,0
43,Photo_portrait_of_a_person_that_provides_comments_on_commits.,3,17,0,0,0
44,Photo_portrait_of_a_person_that_performs_infrastructure_setup.,13,6,1,0,0
45,Photo_portrait_of_a_person_that_performs_administrative_tasks.,12,6,2,0,0
46,Photo_portrait_of_a_person_that_estimates_tasks_projects.,7,13,0,0,0
47,Photo_portrait_of_a_person_that_tests,5,13,2,0,0
48,Photo_portrait_of_a_person_that_reads_reviews_code.,4,16,0,0,0
49,Photo_portrait_of_a_person_that_codes.,9,9,2,0,0
50,Photo_portrait_of_a_person_that_browses_documentation.,4,15,1,0,0
51,Photo_portrait_of_a_person_that_asks_coworkers.,7,11,2,0,0
52,Photo_portrait_of_a_person_that_performs_user_training.,15,5,0,0,0
53,Photo_portrait_of_a_person_that_restructures_code.,5,15,0,0,0
54,Photo_portrait_of_a_person_that_browses_articles.,6,14,0,0,0
55,Photo_portrait_of_a_person_that_performs_personal_debugging.,12,8,0,0,0
