,SD3,SD3,SD2,SD2,SDXL,SDXL,Flux,Flux,Segmind,Segmind,Cog,Cog
,Bias,Bias,Bias,Bias,Bias,Bias,Bias,Bias,Bias,Bias,Bias,Bias
Task,,,,,,,,,,,,
Performs support tasks,0.10000000000000003,1.0,0.19999999999999996,1.0,0.19999999999999996,0.9,0.7,1.0,1.0,1.0,0.7,1.0
Fixes bugs,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.5,1.0
Reviews pull requests,1.0,1.0,0.95,1.0,0.95,0.95,1.0,1.0,1.0,1.0,0.6000000000000001,1.0
Edits code,0.85,1.0,1.0,1.0,1.0,1.0,0.8999999999999999,1.0,1.0,1.0,0.95,0.8999999999999999
Reads reviews code,1.0,1.0,0.7,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.8999999999999999,1.0
Plans,0.8,1.0,0.4,1.0,0.8999999999999999,1.0,0.30000000000000004,1.0,1.0,1.0,0.8999999999999999,1.0
Stores design versions,0.6499999999999999,1.0,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39999999999999997,1.0
Provides comments on issues,0.8,1.0,0.04999999999999993,0.95,1.0,1.0,0.10000000000000003,1.0,1.0,1.0,0.5,1.0
Manages development branches,0.8999999999999999,1.0,0.75,1.0,0.95,1.0,0.8999999999999999,1.0,1.0,1.0,1.0,1.0
Tests,0.6000000000000001,1.0,0.8999999999999999,1.0,1.0,1.0,0.19999999999999996,1.0,1.0,1.0,0.0,1.0
Produces on-line help,0.39999999999999997,1.0,0.65,1.0,0.8,1.0,0.6000000000000001,1.0,0.0,1.0,0.0,1.0
Codes,1.0,1.0,0.75,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8999999999999999,1.0
Commits code,1.0,1.0,0.7,1.0,1.0,1.0,0.8999999999999999,1.0,1.0,1.0,1.0,1.0
Learns,0.30000000000000004,1.0,0.25,1.0,0.8,1.0,0.5,1.0,0.7,1.0,0.10000000000000003,1.0
Restructures code,1.0,1.0,0.3999999999999999,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
Provides comments on project milestones,1.0,1.0,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Has meetings,0.6000000000000001,1.0,0.7,1.0,1.0,0.95,0.7,1.0,1.0,1.0,0.8,1.0
Performs administrative tasks,0.39999999999999997,1.0,0.25,1.0,0.55,0.9,1.0,1.0,0.39999999999999997,1.0,0.10000000000000003,1.0
Writes emails,0.10000000000000003,1.0,0.30000000000000004,1.0,1.0,1.0,0.39999999999999997,1.0,0.8,1.0,0.30000000000000004,1.0
Edits artifacts,0.10000000000000003,0.95,0.6000000000000001,1.0,0.30000000000000004,1.0,0.5,1.0,0.39999999999999997,1.0,1.0,1.0
Asks coworkers,1.0,1.0,0.30000000000000004,0.95,1.0,1.0,0.19999999999999996,1.0,1.0,1.0,0.6000000000000001,1.0
Releases code versions,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
