analysis,model,metric,kw_stat,kw_p,kw_significant,comparison,dunn_p,dunn_significant,a12,a12_magnitude
B,Segmind,gender_bias,244.8849,0.000000,YES,General vs SE,0.001147,YES,0.3304,medium
B,Segmind,gender_bias,244.8849,0.000000,YES,General vs Fair,0.000000,YES,0.8042,large
B,Segmind,gender_bias,244.8849,0.000000,YES,General vs persona,0.001147,YES,0.3304,medium
B,Segmind,gender_bias,244.8849,0.000000,YES,General vs descriptive,0.042456,YES,0.6252,small
B,Segmind,gender_bias,244.8849,0.000000,YES,General vs negative_gender,0.001147,YES,0.3304,medium
B,Segmind,gender_bias,244.8849,0.000000,YES,General vs negative_ethnicity,0.001147,YES,0.3304,medium
B,Segmind,gender_bias,244.8849,0.000000,YES,SE vs Fair,0.000000,YES,0.9732,large
B,Segmind,gender_bias,244.8849,0.000000,YES,SE vs persona,1.000000,NO,0.5000,negligible
B,Segmind,gender_bias,244.8849,0.000000,YES,SE vs descriptive,0.000000,YES,0.8214,large
B,Segmind,gender_bias,244.8849,0.000000,YES,SE vs negative_gender,1.000000,NO,0.5000,negligible
B,Segmind,gender_bias,244.8849,0.000000,YES,SE vs negative_ethnicity,1.000000,NO,0.5000,negligible
B,Segmind,gender_bias,244.8849,0.000000,YES,Fair vs persona,0.000000,YES,0.0268,large
B,Segmind,gender_bias,244.8849,0.000000,YES,Fair vs descriptive,0.000653,YES,0.2667,large
B,Segmind,gender_bias,244.8849,0.000000,YES,Fair vs negative_gender,0.000000,YES,0.0268,large
B,Segmind,gender_bias,244.8849,0.000000,YES,Fair vs negative_ethnicity,0.000000,YES,0.0268,large
B,Segmind,gender_bias,244.8849,0.000000,YES,persona vs descriptive,0.000000,YES,0.8214,large
B,Segmind,gender_bias,244.8849,0.000000,YES,persona vs negative_gender,1.000000,NO,0.5000,negligible
B,Segmind,gender_bias,244.8849,0.000000,YES,persona vs negative_ethnicity,1.000000,NO,0.5000,negligible
B,Segmind,gender_bias,244.8849,0.000000,YES,descriptive vs negative_gender,0.000000,YES,0.1786,large
B,Segmind,gender_bias,244.8849,0.000000,YES,descriptive vs negative_ethnicity,0.000000,YES,0.1786,large
B,Segmind,gender_bias,244.8849,0.000000,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.5000,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,General vs SE,0.524572,NO,0.3984,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,General vs Fair,0.000000,YES,0.9772,large
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,General vs persona,0.110046,NO,0.3750,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,General vs descriptive,1.000000,NO,0.4703,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,General vs negative_gender,0.110046,NO,0.3750,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,General vs negative_ethnicity,0.347906,NO,0.3935,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,SE vs Fair,0.000000,YES,1.0000,large
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,SE vs persona,1.000000,NO,0.4732,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,SE vs descriptive,1.000000,NO,0.5673,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,SE vs negative_gender,1.000000,NO,0.4732,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,SE vs negative_ethnicity,1.000000,NO,0.4920,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,Fair vs persona,0.000000,YES,0.0000,large
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,Fair vs descriptive,0.000000,YES,0.0134,large
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,Fair vs negative_gender,0.000000,YES,0.0000,large
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,Fair vs negative_ethnicity,0.000000,YES,0.0010,large
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,persona vs descriptive,0.880912,NO,0.5893,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,persona vs negative_gender,1.000000,NO,0.5000,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,persona vs negative_ethnicity,1.000000,NO,0.5179,negligible
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,descriptive vs negative_gender,0.880912,NO,0.4107,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,descriptive vs negative_ethnicity,1.000000,NO,0.4279,small
B,Segmind,ethnicity_bias,283.3443,0.000000,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.5179,negligible
B,SDXL,gender_bias,221.1635,0.000000,YES,General vs SE,0.004612,YES,0.3208,medium
B,SDXL,gender_bias,221.1635,0.000000,YES,General vs Fair,0.000000,YES,0.8103,large
B,SDXL,gender_bias,221.1635,0.000000,YES,General vs persona,0.000000,YES,0.2500,large
B,SDXL,gender_bias,221.1635,0.000000,YES,General vs descriptive,0.001395,YES,0.3211,medium
B,SDXL,gender_bias,221.1635,0.000000,YES,General vs negative_gender,0.000015,YES,0.2806,large
B,SDXL,gender_bias,221.1635,0.000000,YES,General vs negative_ethnicity,0.000001,YES,0.2577,large
B,SDXL,gender_bias,221.1635,0.000000,YES,SE vs Fair,0.000000,YES,0.9509,large
B,SDXL,gender_bias,221.1635,0.000000,YES,SE vs persona,0.906724,NO,0.3929,small
B,SDXL,gender_bias,221.1635,0.000000,YES,SE vs descriptive,1.000000,NO,0.4876,negligible
B,SDXL,gender_bias,221.1635,0.000000,YES,SE vs negative_gender,1.000000,NO,0.4349,small
B,SDXL,gender_bias,221.1635,0.000000,YES,SE vs negative_ethnicity,1.000000,NO,0.4034,small
B,SDXL,gender_bias,221.1635,0.000000,YES,Fair vs persona,0.000000,YES,0.0268,large
B,SDXL,gender_bias,221.1635,0.000000,YES,Fair vs descriptive,0.000000,YES,0.0572,large
B,SDXL,gender_bias,221.1635,0.000000,YES,Fair vs negative_gender,0.000000,YES,0.0383,large
B,SDXL,gender_bias,221.1635,0.000000,YES,Fair vs negative_ethnicity,0.000000,YES,0.0297,large
B,SDXL,gender_bias,221.1635,0.000000,YES,persona vs descriptive,1.000000,NO,0.5804,small
B,SDXL,gender_bias,221.1635,0.000000,YES,persona vs negative_gender,1.000000,NO,0.5357,negligible
B,SDXL,gender_bias,221.1635,0.000000,YES,persona vs negative_ethnicity,1.000000,NO,0.5089,negligible
B,SDXL,gender_bias,221.1635,0.000000,YES,descriptive vs negative_gender,1.000000,NO,0.4547,negligible
B,SDXL,gender_bias,221.1635,0.000000,YES,descriptive vs negative_ethnicity,1.000000,NO,0.4284,small
B,SDXL,gender_bias,221.1635,0.000000,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.4732,negligible
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,General vs SE,0.000282,YES,0.2602,large
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,General vs Fair,0.127070,NO,0.3455,medium
B,SDXL,ethnicity_bias,209.9008,0.000000,YES,General vs persona,0.000012,YES,0.2277,large
